lord_id,name,alliance_id,alliance_tag,town_center,home_server,power,map_id,units_killed,faction,merits,highest_power,legion_power,tech_power,building_power,hero_power,units_dead,units_healed,city_sieges,defeats,victories,scouted,gold,wood,ore,mana,gems,resources_given,resources_given_count,helps_given,gold_spent,wood_spent,stone_spent,mana_spent,gems_spent,killcount_t5,killcount_t4,killcount_t3,killcount_t2,killcount_t1
3388469,ᴳᴱᴺ YLIG,296311,:AO:,25,149,83208847,24071,64433454,Wilderburg,1217493,92043444,28126408,31732531,18680998,4668910,995379,205951037,28,52940,25085,126,2597232420,1615561490,805026168,506500313,179,121772666,50,70283,6802950216,6184505705,3298915258,2898495036,-,27350105,28508817,3265838,3157868,2082881
12784834,ShefloN,298362,SVR,25,473,83198535,24071,458286299,League of Order,4841858,97890551,25916315,31171532,18680998,7429690,1679858,375518750,846,35178,134742,1098,2110083043,2470697520,981815803,2402309634,10333,672737625,145,111561,10591258072,11966647661,7975220166,5574826150,-,82749348,306989649,4744752,2192728,61464943
1337966,Stragaa,239363,ASC~,25,324,83131106,24071,244353539,League of Order,6054221,98578932,26036387,31732531,18680998,6681190,1309710,249843893,28,59534,94708,175,1348533123,1852926088,684912699,2706350183,11805,1712054642,406,73577,9185937708,11242982120,5609928694,5588488178,-,98257804,105055126,1024586,223055,39762968
12715438,MySh4dow,322980,-RC-,25,168,83096777,24071,259940232,Springwardens,103243,83096777,28172974,29459655,18680998,6783150,193325,298744493,67,28282,97180,820,4484664664,3839729938,2904853287,1809958127,13437,767161263,166,186301,10003668768,9282641854,6556913229,3870896919,-,13937857,94560471,4961225,2136677,144301604
2730380,K4T1,296311,:AO:,25,149,83071703,24071,162797605,League of Order,2012191,87685441,29070164,31732531,16783618,5229390,803846,185705156,169,13280,117729,215,3168874762,3421213407,2604143798,2023615094,11919,2332186701,480,178768,3432482378,4273467621,2988481127,1881404030,-,49625250,83965895,2794597,497696,25846569
5650443,NÖÈLᴺᴼᴬᴴ,277035,INFT,25,152,82900867,24071,88303702,League of Order,1084490,84540471,26928704,29459655,18680998,7831510,399946,171682760,58,31274,71174,232,1018076619,1067361711,776315582,539060142,8,75000000,15,52584,3842866726,4439609370,2695189274,1939440481,-,30586008,45238668,2604355,3175444,6648934
539659,ᵃˡᵖʰᵃRYUK,198884,14XS,25,191,82886297,24071,171379786,Wilderburg,1676697,83160859,30084724,27505435,17548018,7620120,1379412,331845129,360,45909,102197,1380,1258964399,1643067746,844729327,1437213283,9526,86970008,28,117757,6232028944,7191528869,3496458379,2677257858,-,57102555,85789557,6506280,2342522,19374358
1184803,LoneKralia,-,-,25,380,82830330,380,265841438,League of Order,-,103002674,25974076,31734406,18680998,6440850,3275292,222864416,449,57431,91111,134,312009110,264109408,264904634,770857299,554,179830000,38,40501,4735637344,4293923440,3239079976,2733277073,-,124998087,91156124,4844073,1816147,42940937
7178016,rasmYAYO,239363,ASC~,25,324,82817004,24071,643871166,League of Order,7597205,103050302,25758774,31171532,18325858,7240840,1220223,577531333,65,43116,339560,210,2596998023,3283327699,1878217058,4487994412,12276,821787945,168,169271,9245794946,12758660172,7961984638,6056041396,-,222145958,339980502,5481149,1650950,74545854
2286271,ᶠˢᵏAntoZ,183482,FSK,25,36,82816944,24071,347429005,League of Order,6262657,103394448,25367437,31066169,17846178,8345160,3488508,362542584,866,33108,180833,588,3879293713,4202411046,2768021450,2009434000,68400,1024045790,217,87401,6718821779,9133852297,6027859113,3926234575,-,121183559,181944133,5580297,2046890,36203110
5010734,ᶜᵘᵛᵉ Sollee,296311,:AO:,25,149,82815678,24071,164546086,Wilderburg,537040,82815678,32597136,25164634,18680998,6308910,91062,187724898,25,9817,84094,246,2211066181,2357001691,1655014074,1521728692,16489,115737845,25,80198,5061832872,4435805020,3626168589,2018830943,-,33841511,77227214,303285,56522,53110971
2734891,ᴱˣᴳᴳ Dylan,239363,ASC~,25,324,82678602,24071,221580357,League of Order,4311063,103910888,26232826,31366440,18347038,6644150,419267,314751941,84,49944,122048,1680,2195154221,2271651336,1389169890,1355799903,12603,9671187,8,110533,6507680485,6774097363,3947512822,3387420421,-,76933943,107230543,4819164,2587677,29936769
3421457,Loyalty666,298362,SVR,25,473,82627708,24071,182420595,Wilderburg,1590520,106876314,24924301,31732531,18680998,7029610,1317814,458771250,154,43321,104863,1562,4597358274,4615386662,3220191210,3085175422,14130,14685094,6,144033,8752341671,9179608491,6149362185,4930546441,-,53343767,83086498,5522098,2544448,37870231
9677887,그런들,189012,-NVD,25,218,82586389,24071,134832995,League of Order,1206657,96862691,24362650,31732531,18680998,7554210,1485943,353416985,71,53379,107280,914,3468016319,3826338569,2591586593,1518941747,5983,40242214,22,200646,7040413028,8916756558,5742343723,3952030278,-,55256264,66815076,800250,814019,11083845
14875030,Jameshaha,270507,WIRA,25,380,82402675,24071,86190135,League of Order,1296111,82402675,26260406,31732531,18680998,5728740,1577907,236120330,210,50341,73261,232,3318256025,3177227181,1261695433,1245831951,2513,30228622,11,77947,9337372643,9143296072,4513262634,3502610060,-,39517514,37170027,1000235,212325,8236371
15200254,きなこモッチモチ,270507,WIRA,25,380,82395121,24071,277646116,League of Order,8061329,83765212,29502213,31171532,16604816,5116560,1100679,319224151,289,54920,102597,132,1220769938,1598032623,1264241044,3650640837,-,50530001,17,33061,8161807556,8661634219,5332169851,4074463836,-,144638743,96783492,2147534,1430387,32626006
1204350,Ňęvęr4Ęvęr,296311,:AO:,25,149,82159533,24071,108872032,League of Order,1948326,91283973,24646504,31732531,18680998,6843500,1418623,199163794,217,16677,42189,401,1993036643,1666605226,1272058605,1409465022,11,16322561,20,98129,5422215938,5075545802,3306933926,2900978497,-,36117439,67518335,774418,535123,3751135
11927658,andreyusxxˡᵉᵍᵉⁿᵈ,287905,BeK,25,115,82105867,24071,345834322,League of Order,2595433,82105867,28810204,29459655,17038418,6669590,1937961,319801163,1965,25229,150854,2354,939270465,1303588617,502381744,1632695948,6623,637128440,133,111536,6186870491,6919183927,4117352102,3457435772,-,100970652,180465595,19527835,13893437,30150584
12965421,Slayer star,322980,-RC-,25,168,82077849,24071,365756409,League of Order,2597007,86688774,27276107,29732214,18426198,6617330,938465,412751109,108,18830,180274,237,2278040268,3102597710,3042396282,4798939460,21589,1363590399,277,126656,8089480821,9418751212,6790101365,3229832234,-,114803328,189925052,4229872,1735475,55023449
3944124,Dior Sauvage,183482,FSK,25,36,81947667,24071,166672900,League of Order,1838237,97795803,27458628,31732531,18027698,4536810,1886131,310277725,144,45158,75696,377,3167496220,3264370711,1696295279,1605315308,15079,-,-,74330,5400332177,5935327649,3900201624,3365579541,-,55511814,81799626,1451622,787143,27044238
9674295,닌 자 터 틀,189012,-NVD,25,218,81946688,218,70027859,Wilderburg,-,81946688,27428400,31366440,18680998,4470850,347761,91497360,23,5650,35555,47,1861614294,1888476221,1216725328,790731830,242,207467283,44,76373,3070137329,3251870265,2361256934,1597435360,-,6872796,26456254,290911,49736,36336418
